时间	成本加成定价	销量	成本加成定价	销量	成本加成定价	销量	成本加成定价	销量	成本加成定价	销量	成本加成定价	销量
2020/9/6	11.018	18.454	8.02104	46.129	11.281	17.964	12.606	12.567	12.7284	12.774	13.1112	30.149
2020/9/7	8.5664	36.67	8.02104	37.507	10.3725	20.516	22.53636	8.362	12.7284	6.051	11.706	10.865
2020/9/8	8.5664	31.283	8.4432	19.127	4.3368	10	12.606	9.193	8.5368	5.339	11.706	13.609
2020/9/9	8.5664	25.944	18.095	0.858	5.784	7.791	12.606	6.863	6.4026	3.01	13.1112	18.17
2020/9/10	11.018	4.828	8.4432	13.712	9.1544	16.195	22.53636	9.273	12.7284	7.347	13.1112	48.941
2020/9/11	10.708	27.584	18.095	0.644	21.30282	4.415	22.53636	11.877	7.3507	14.515	13.1112	9.841
2020/9/12	10.708	28.579	8.4432	16.957	10.1529	23.418	19.7802	1.637	7.3507	8.096	12.0186	30.741
2020/9/13	10.708	49.087	18.095	1.052	3.90312	13.459	22.53636	25.428	12.7284	17.145	12.0186	28.722
2020/9/14	10.72896	4.019	8.4432	16.217	6.63712	6.918	22.53636	10.757	10.607	9.903	12.0186	49.456
2020/9/15	10.72896	4.655	8.4432	14.348	9.1544	22.009	19.7802	1.758	7.3507	5.145	12.0186	18.473
2020/9/16	10.78	3.256	7.3878	17.316	4.03826	14.123	10.343	8.722	10.607	8.918	12.0186	45.961
2020/9/17	12.8496	22.187	7.3878	17.437	3.86308	7.487	19.7802	1.581	10.607	10.834	12.0186	18.781
2020/9/18	10.708	29.937	18.095	1.259	3.86308	8.107	22.53636	9.556	7.3507	4.899	12.0186	15.21
2020/9/19	13.4112	12.247	8.4432	38.336	11.37	17.101	22.53636	11.004	10.607	12.93	8.1942	25.69
2020/9/20	12.936	6.104	18.095	1.201	6.822	52.276	24.81276	12.811	5.3355	8.695	8.1942	32.308
2020/9/21	15.6464	4.112	8.4432	16.289	8.40864	7.44	24.81276	9.967	8.4008	8.85	13.1112	18.474
2020/9/22	10.708	48.183	18.095	1.367	4.6272	7.565	24.81276	15.129	5.3355	9.602	13.1112	26.505
2020/9/23	11.7788	33.028	8.4432	17.283	7.1112	5.636	13.392	7.313	8.4856	10.726	11.706	13.819
2020/9/24	13.2216	7.84	8.4432	51.106	11.064	41.111	8.2744	16.225	8.4856	10.702	15.2964	22.639
2020/9/25	11.7788	30.548	8.4432	20.343	11.281	7.028	24.81276	12.095	5.3355	13.716	15.2964	32.512
2020/9/26	10.708	47.666	8.4432	62.839	4.6272	7.99	13.392	4.007	5.3355	11.869	15.2964	52.138
2020/9/27	14.8204	1.612	8.4432	27.116	8.8512	5.651	13.392	2.94	8.4856	10.266	15.2964	15.171
2020/9/28	9.6372	21.966	8.4432	10.966	6.7302	10.17	8.2744	10.571	7.4249	6.979	11.706	11.784
2020/9/29	17.8816	6.341	18.095	0.801	6.7302	9.382	8.2744	7.861	5.3355	7.994	11.706	12.975
2020/9/30	11.858	5.127	18.095	1.21	9.096	17.949	24.81276	35.064	5.3355	10.022	15.2964	40.032
2020/10/1	12.7032	3.254	8.4432	53.561	16.5914	17.921	24.81276	38.695	7.4249	14.987	15.2964	66.058
2020/10/2	17.8816	6.191	8.4432	18.385	14.2212	28.799	19.6182	1.04	5.88056	8.764	15.2964	46.429
2020/10/3	9.6372	55.733	8.4432	17.645	8.7544	71.582	33.28064	0.853	6.6564	16.706	9.3648	15.29
2020/10/4	9.6372	49.878	8.4432	18.41	9.2488	11.154	6.2058	58.852	6.3642	19.766	9.3648	14.298
2020/10/5	10.708	63.268	8.4432	76.672	10.2987	27.219	13.392	4.482	6.3642	11.69	7.0236	52.465
2020/10/6	10.708	58.641	8.4432	25.241	14.2212	28.11	24.81276	17.258	6.3642	19.484	7.0236	88.508
2020/10/7	19.0548	3.966	8.4432	52.156	7.7448	65.557	33.28064	0.551	7.00062	8.251	7.0236	27.73
2020/10/8	19.7982	2.108	8.4432	30.566	13.5372	5.845	19.6182	1.03	7.4249	7.091	15.2964	19.808
2020/10/9	14.9408	0.859	8.4432	50.825	6.822	5.57	22.53636	8.826	7.4249	12.208	8.1942	18.754
2020/10/10	9.6372	34.649	8.4432	21.803	14.2212	8.29	22.53636	21.722	7.4249	7.164	15.2964	16.919
2020/10/11	10.708	47.441	8.4432	56.572	6.7302	33.986	5.39147	111	8.8752	9.624	8.1942	24.24
2020/10/12	10.708	34.722	15.51	1.837	9.22	11.98	5.39147	66	8.4008	1.905	8.1942	21.52
2020/10/13	10.708	33.64	8.4432	49.701	8.7544	15.2	22.53636	8.959	6.4026	3.78	15.2964	17.385
2020/10/14	10.708	30.337	8.4432	46.207	11.561	10.524	10.343	13.976	8.43144	4.71	13.1112	24.161
2020/10/15	10.708	30.275	8.4432	42.162	9.22	32.872	8.928	9.113	8.43144	5.436	10.05192	36.058
2020/10/16	13.4112	3.131	8.4432	58.973	8.8512	11.104	20.03232	19.952	8.43144	5.673	10.926	44.818
2020/10/17	8.5664	73.228	8.4432	87.12	9.0248	13.774	20.03232	38.144	6.3642	17.712	7.0236	26.273
2020/10/18	8.5664	67.262	8.4432	79.338	8.8512	10.553	20.03232	45.805	6.3642	15.151	7.0236	24.416
2020/10/19	8.5664	41.3	8.4432	40.6	7.6704	2.743	8.2744	12.647	6.3642	7.107	10.926	36.458
2020/10/20	15.4252	3.892	8.4432	49.434	16.0752	2.841	7.75698	3	5.97576	1.738	10.926	14.263
2020/10/21	8.13808	32.629	8.4432	21.201	5.02152	43	22.53636	11.996	7.4249	6.348	10.926	24.362
2020/10/22	8.13808	34.872	8.4432	35.917	5.685	9.837	6.2496	8.869	5.97576	1.577	10.926	13.3
2020/10/23	17.8816	3.349	8.4432	30.567	12.7524	9.234	10.505	7.005	6.3642	8.964	8.1942	10.219
2020/10/24	8.13808	55.191	8.4432	67.932	11.525	23.833	6.696	11.172	8.8752	5.163	8.1942	15.976
2020/10/25	8.5664	49.46	8.4432	71.16	2.4454	54.702	7.812	8.741	6.3642	15.656	8.1942	22.691
2020/10/26	31.54628	1.446	8.4432	20.666	2.4454	43.492	20.4876	12.406	8.8752	3.283	12.0186	14.19
2020/10/27	8.5664	32.58	8.4432	21.273	11.525	16.552	8.928	6.655	7.4249	4.24	10.926	21.929
2020/10/28	8.5664	38.087	8.4432	32.418	2.4454	52.582	6.696	6.439	7.7658	4.643	10.926	15.998
2020/10/29	8.5664	40.293	8.4432	15.828	7.40322	7.752	20.4876	12.781	7.4249	7.767	10.05192	13.9
2020/10/30	8.5664	34.5	8.4432	18.769	9.4808	3.823	20.4876	17.127	8.8752	4.124	10.05192	18.452
2020/10/31	8.5664	57.773	8.4432	79.265	2.4454	63.291	20.4876	39.348	5.97576	3.567	10.05192	60.735
2020/11/1	7.4956	55.845	8.4432	71.332	2.4454	60.06	6.696	7.358	7.3507	4.17	10.48896	53.91
2020/11/2	7.4956	35.978	8.4432	15.053	4.2508	11.632	22.53636	14.778	7.4249	2.924	10.48896	20.803
2020/11/3	6.4248	55.675	8.4432	15.727	4.4868	22.942	22.53636	11.695	7.4249	4.7	10.05192	40.187
2020/11/4	6.4248	48.883	8.4432	18.183	11.561	0.882	2.72125	145	8.43144	0.712	5.853	14.822
2020/11/5	7.4956	31.747	8.4432	8.347	3.1881	21.581	6.2058	8.679	6.3006	2.709	8.30376	43.779
2020/11/6	7.4956	37.498	8.4432	13.443	4.4868	28.32	6.696	9.267	8.43144	1.439	8.30376	21.562
2020/11/7	7.4956	44.808	8.4432	71.413	4.4256	64.226	3.15665	13	6.3642	5.335	4.6824	60.909
2020/11/8	17.6288	5.082	8.4432	58.207	3.58944	25.16	10.505	3.837	6.3006	1.924	4.6824	57.943
2020/11/9	6.4248	51.41	8.4432	14.579	11.525	14.384	18.2112	11.328	5.97576	2.672	7.6482	39.625
2020/11/10	23.74674	0.188	8.4432	12.103	3.3651	21.21	15.9348	11.671	8.43144	2.468	8.7408	10.578
2020/11/11	17.6288	3.093	8.4432	14.727	1.71178	50.219	6.696	9.353	6.3642	8.445	4.6824	7.614
2020/11/12	17.6288	2.735	8.4432	13.497	3.3651	19.436	6.696	7.675	5.97576	3.118	6.5556	12.075
2020/11/13	6.4248	57.462	8.4432	13.053	7.1106	10.369	15.9348	9.366	6.3642	5.017	6.5556	45.656
2020/11/14	15.092	6.295	7.3878	58.127	6.7686	10.284	18.2112	17.113	5.3035	15.26	6.11856	75.861
2020/11/15	17.6288	4.112	7.3878	45.353	10.3725	22.477	18.2112	5.158	6.3006	3.228	6.11856	70.059
2020/11/16	7.06728	32.195	8.4432	14.45	1.71178	36.303	2.72125	12	5.3035	9.296	6.11856	41.351
2020/11/17	13.4112	4.316	8.4432	24.762	1.46724	85.255	2.72125	92	6.3006	2.308	6.11856	40.078
2020/11/18	35.78068	2.292	8.4432	19.171	1.46724	36.273	2.72125	55	6.3642	10.134	4.6824	11.458
2020/11/19	15.6464	3.554	8.4432	16.766	7.1106	9.6	15.9348	8.478	7.4249	8.383	5.463	60.347
2020/11/20	7.4956	36.588	8.4432	20.751	7.1106	21.187	6.696	8.346	5.97576	0.77	3.5118	14.901
2020/11/21	7.4956	55.932	8.4432	91.197	7.1106	47.819	4.7682	29	8.8752	2.357	5.463	72.819
2020/11/22	6.4248	76.578	8.4432	67.538	5.685	11.124	7.55684	13	5.97576	2.688	5.463	82.152
2020/11/23	15.092	2.51	8.4432	34.987	3.2634	5.203	21.9384	17.55	6.3642	10.199	3.04356	28.414
2020/11/24	15.092	2.39	8.4432	44.692	1.95632	67.471	5.1715	13.113	6.3642	6.673	3.04356	24.382
2020/11/25	7.06728	26.619	8.4432	38.697	1.71178	94.998	2.72125	18	9.9846	1.815	3.27768	21.953
2020/11/26	7.06728	34.789	8.4432	24.099	1.2227	174.597	18.2112	6.023	6.3642	8.114	6.5556	20.303
2020/11/27	6.4248	37.24	8.4432	23.178	1.2227	115.725	6.2058	19.099	6.3642	7.191	3.98004	14.47
2020/11/28	11.176	6.918	8.4432	30.289	3.1881	22.757	21.9384	21.584	6.3642	10.653	6.5556	55.646
2020/11/29	7.06728	47.216	8.4432	31.494	3.1881	22.125	2.72125	43	7.4697	3.124	6.5556	56.877
2020/11/30	11.176	5.362	8.4432	18.481	10.836	3.276	5.22193	48	6.3642	6.321	6.5556	20.152
2020/12/1	17.6288	2.842	8.4432	25.029	4.5124	9.147	18.2112	11.57	9.4509	2.149	4.6824	13.468
2020/12/2	37.17662	0.637	8.4432	20.197	1.2227	113.984	8.2744	6.079	7.4249	4.558	4.6824	12.236
2020/12/3	7.4956	32.467	8.8816	12.53	2.91642	38.684	8.2744	8.234	13.3128	3.966	7.6482	15.288
2020/12/4	42.13228	1.204	6.6612	63.326	4.2508	11.861	6.55667	13	7.4249	7.508	5.853	11.566
2020/12/5	42.13228	1.959	8.4432	34.801	2.69208	22.428	3.15665	34	13.3128	2.179	6.5556	55.108
2020/12/6	17.6288	6.922	8.4432	64.56	3.00768	4.845	11.16	18.433	7.84918	14.136	8.7408	39.488
2020/12/7	10.708	24.607	5.551	14.759	19.89306	1.465	18.2112	17.505	8.4856	8.333	8.7408	11.439
2020/12/8	15.6464	2.102	8.4432	40.159	2.69208	30.368	18.2112	20.565	10.501	2.015	8.7408	16.642
2020/12/9	10.708	23.706	8.4432	36.39	3.00768	5.815	110.80794	0.692	10.501	1.092	8.7408	10.841
2020/12/10	15.6464	2.711	8.4432	43.065	4.2508	5.729	18.2112	22.108	8.4856	9.162	7.0236	12.895
2020/12/11	10.708	28.849	6.3324	43.653	1.2227	118.274	10.505	3.058	8.4856	11.417	7.0236	12.343
2020/12/12	17.6288	4.317	8.4432	57.082	15.0626	1.66	18.0448	6.922	8.4856	8.008	6.5556	44.861
2020/12/13	17.248	3.613	8.4432	51.712	19.89306	1.087	22.53636	33.804	12.6012	1.761	8.7408	44.4
2020/12/14	17.248	3.647	8.4432	51.695	2.91642	16.436	22.53636	19.4	8.4856	9.851	8.7408	14.111
2020/12/15	10.708	28.531	8.8816	11.68	1.2227	102.046	22.53636	22.973	8.4856	5.778	8.7408	11.404
2020/12/16	12.8496	21.563	8.8816	11.064	1.2227	74.393	10.044	10.547	8.4856	7.759	7.0236	9.183
2020/12/17	12.8496	23.808	8.4432	34.981	1.2227	87.351	20.4876	25.43	8.4856	7.518	8.7408	11.228
2020/12/18	12.8496	25.631	8.4432	38.543	5.3135	4.316	18.2112	26.287	8.4856	15.802	7.0236	12.593
2020/12/19	63.30428	2.597	8.8816	8.384	7.1106	7.659	18.0448	4.205	8.4856	12.82	8.7408	35.406
2020/12/20	63.30428	2.678	9.4986	45.703	5.7215	7.01	18.2112	36.251	8.4856	10.126	7.0236	34.938
2020/12/21	12.8496	19.777	9.4986	36.636	1.2227	58.98	20.3004	2.987	8.4856	10.102	8.7408	21.605
2020/12/22	12.8496	26.333	9.4986	30.202	1.2227	71.121	18.2112	18.589	8.4856	9.312	8.7408	17.612
2020/12/23	12.8496	26.306	6.6612	10.321	9.22	6.753	10.505	2.284	7.3507	1.289	8.7408	31.771
2020/12/24	13.9204	25.328	9.4986	47.073	5.7215	8.294	19.3494	14.253	8.4856	7.681	8.7408	13.75
2020/12/25	14.9912	34.354	9.4986	32.717	13.3656	6.678	10.343	9.944	8.4856	9.222	8.1942	16.366
2020/12/26	63.30428	3.54	6.6612	29.216	1.2227	170.622	10.343	14.586	8.4856	10.792	8.1942	29.127
2020/12/27	17.1328	32.845	9.4986	48.028	5.7215	10.263	15.9348	41.518	9.5463	9.466	7.0236	26.708
2020/12/28	18.2036	30.812	11.06919	10	5.6405	22.429	20.4876	17.289	8.4856	10.94	10.926	13.36
2020/12/29	18.2036	17.901	6.6612	9.048	1.2227	144.505	20.4876	15.989	8.4856	10.444	10.926	17.855
2020/12/30	18.2036	19.949	8.4432	38.003	1.71178	77.827	22.33044	3.359	9.5463	12.995	10.926	16.43
2020/12/31	28.42644	3.59	7.3878	51.652	9.4808	7.483	6.55667	11	9.5463	18.877	10.926	11.987
2021/1/1	27.53376	2.926	7.3878	66.895	6.7686	22.291	20.4876	30.684	9.5463	14.953	10.926	27.724
2021/1/2	17.1328	42.691	7.3878	60.253	2.91642	19.539	20.4876	24.013	9.5463	15.358	9.3648	21.607
2021/1/3	26.22284	6.686	6.6612	19.452	19.89306	2.087	17.4384	0.645	8.4008	1.391	10.926	31.641
2021/1/4	14.9912	42.232	11.06919	25	6.8658	12.042	20.4876	17.813	9.5463	8.965	10.926	13.05
2021/1/5	17.1328	27.291	7.7714	27.752	6.7686	16.99	6.696	10.032	9.5463	13.474	9.3648	26.706
2021/1/6	17.1328	32.436	9.4986	26.38	11.525	11.175	10.505	4.13	10.607	11.885	10.926	28.363
2021/1/7	73.89028	1.384	9.4986	37.841	3.3192	12.384	22.33044	3.631	10.607	11.294	9.3648	22.322
2021/1/8	17.1328	20.683	9.4986	20.534	1.95632	113.548	10.343	9.244	10.607	10.946	12.0186	9.911
2021/1/9	17.1328	53.226	9.4986	39.814	11.138	25.511	15.0682	2.462	10.607	17.319	13.1112	27.024
2021/1/10	22.96404	2.773	8.4432	39.867	11.525	20.141	20.4876	39.233	10.607	21.238	13.1112	36.409
2021/1/11	17.1328	29.281	8.4432	28.683	11.138	16.065	10.044	11.005	10.607	14.059	14.2038	10.772
2021/1/12	18.2036	22.811	11.06919	13	4.26246	5.479	6.43926	1	10.607	6.304	14.0472	9.124
2021/1/13	73.89028	1.376	11.06919	9	9.1544	7.995	15.9348	23.714	0	0	15.2178	7.845
2021/1/14	18.2036	26.415	9.4986	23.585	5.15982	4.565	15.9348	27.805	10.501	3.387	8.7408	23.224
2021/1/15	17.1328	28.645	9.4986	30.471	6.04632	6	15.9348	32.044	9.5463	12.686	8.7408	14.912
2021/1/16	17.1328	54.352	9.4986	41.605	2.4454	122.787	6.55667	15	9.5463	18.888	13.1112	25.33
2021/1/17	21.20184	45.99	11.06919	30	9.096	4.086	8.2744	13.29	9.5463	21.808	16.3884	24.231
2021/1/18	21.20184	25.07	11.06919	14	3.17902	68.993	10.044	3.795	10.607	9.09	16.3884	19.967
2021/1/19	21.20184	29.417	10.554	23.031	2.4454	129.71	8.2744	8.199	11.5511	1.185	16.3884	11.703
2021/1/20	21.20184	32.41	10.554	27.318	11.281	7.739	8.2744	10.795	10.607	16.125	15.0636	0.843
2021/1/21	23.34344	32.762	8.8816	7.972	2.4454	102.839	8.2744	7.195	10.607	16.736	16.3884	14.053
2021/1/22	23.34344	29.877	8.8816	9.486	2.4454	94.451	24.1544	19.915	9.5463	11.45	16.3884	15.007
2021/1/23	23.34344	64.732	10.554	35.446	6.7686	13.029	8.2744	11.033	11.5511	3.16	13.1112	33.826
2021/1/24	73.89028	2.439	8.8816	8.999	11.37	6.105	24.1544	29.017	9.5463	21.138	13.1112	27.291
2021/1/25	19.2744	43.957	10.554	42.278	13.83	8.83	8.928	11.38	9.5463	17.027	14.0472	19.147
2021/1/26	19.2744	36.7	8.8816	11.68	5.569	50.64	15.9348	36.048	9.5463	13.532	12.67416	14.251
2021/1/27	14.9912	82.425	10.554	34.14	9.2544	6.865	8.928	10.479	9.5463	9.733	11.706	33.007
2021/1/28	17.1328	46.627	10.554	42.278	18.1792	1.539	8.928	10.627	12.6012	3.621	14.0472	24.685
2021/1/29	17.1328	44.997	10.554	28.599	15.9068	2.747	24.1544	20.616	10.607	13.068	10.926	33.88
2021/1/30	27.8124	2.524	10.554	29.941	11.443	6.495	22.33044	3.285	10.607	14.604	11.706	14.383
2021/1/31	27.8124	3.643	10.554	28.81	13.83	16.788	24.1544	28.34	10.607	18.073	11.706	20.687
2021/2/1	14.9912	54.694	9.4986	26.781	6.96864	8	24.1544	18.91	12.7284	8.039	10.926	13.63
2021/2/2	14.9912	66.838	9.4986	32.206	6.96864	8	24.1544	18.576	17.104	6.871	10.926	21.184
2021/2/3	14.9912	58.366	9.4986	24.454	9.0248	16.934	6.696	9.3	12.7284	9.834	8.7408	63.618
2021/2/4	25.942	0.815	9.4986	33.076	13.83	13.832	24.1544	29.841	11.6677	18.214	8.7408	48.979
2021/2/5	26.22284	10.358	9.4986	35.416	11.217	4.72	8.41903	9	11.6677	10.487	8.7408	41.029
2021/2/6	11.7788	144.05	9.4986	39.892	2.4454	97.431	5.44537	9	17.104	8.055	10.5354	27.775
2021/2/7	12.8496	104.788	8.8816	11.842	2.4454	95.764	24.1544	37.856	11.6677	21.568	9.8334	33.692
2021/2/8	69.65588	11.002	10.554	72.632	9.2488	9.425	6.696	21.356	12.7284	30.967	7.0236	65.089
2021/2/9	69.65588	15.943	11.102	17.606	3.6681	57.217	21.9384	98.563	12.7284	83.613	8.1942	81.299
2021/2/10	26.22284	30.512	16.8864	147.342	6.3762	43.262	35.86404	7.33	12.7284	109.43	9.3648	81.146
2021/2/13	33.30448	23.698	14.42349	50	9.2488	15.654	8.2744	28.633	12.7284	28.967	9.3648	22.759
2021/2/14	16.912	50.27	16.8864	52.733	9.096	8.546	21.9384	21.042	12.7284	25.06	9.3648	5.981
2021/2/15	35.53968	31.143	14.7756	52.821	9.096	16.229	24.1544	32.607	12.7284	39.655	9.8334	19.976
2021/2/16	35.53968	23.259	14.7756	67.819	11.851	6.627	6.696	14.185	12.7284	31.647	9.8334	31.462
2021/2/17	35.53968	18.632	12.6648	53.632	7.55238	11.326	8.2744	16.989	12.7284	30.358	9.8334	21.962
2021/2/18	8.0332	62.014	12.6648	62.327	3.3651	9.937	4.33407	24	12.7284	18.17	7.6482	30.75
2021/2/19	5.285	78.806	12.6648	62.583	2.91642	20.195	24.1544	15.572	10.607	11.405	5.853	22.575
2021/2/20	6.342	84.219	11.102	5.822	2.91642	12.326	5.00085	20	10.607	15.966	5.853	10.304
